timestamp,accounting.buffer_size,fan.speed,pstate,clocks_throttle_reasons.supported,clocks_throttle_reasons.active,clocks_throttle_reasons.gpu_idle,clocks_throttle_reasons.applications_clocks_setting,clocks_throttle_reasons.sw_power_cap,clocks_throttle_reasons.hw_slowdown,clocks_throttle_reasons.hw_thermal_slowdown,clocks_throttle_reasons.hw_power_brake_slowdown,clocks_throttle_reasons.sync_boost,memory.total,memory.used,memory.free,compute_mode,utilization.gpu,utilization.memory,encoder.stats.sessionCount,encoder.stats.averageFps,encoder.stats.averageLatency,ecc.mode.current,ecc.mode.pending,ecc.errors.corrected.volatile.device_memory,ecc.errors.corrected.volatile.register_file,ecc.errors.corrected.volatile.l1_cache,ecc.errors.corrected.volatile.l2_cache,ecc.errors.corrected.volatile.texture_memory,ecc.errors.corrected.volatile.total,ecc.errors.corrected.aggregate.device_memory,ecc.errors.corrected.aggregate.register_file,ecc.errors.corrected.aggregate.l1_cache,ecc.errors.corrected.aggregate.l2_cache,ecc.errors.corrected.aggregate.texture_memory,ecc.errors.corrected.aggregate.total,ecc.errors.uncorrected.volatile.device_memory,ecc.errors.uncorrected.volatile.register_file,ecc.errors.uncorrected.volatile.l1_cache,ecc.errors.uncorrected.volatile.l2_cache,ecc.errors.uncorrected.volatile.texture_memory,ecc.errors.uncorrected.volatile.total,ecc.errors.uncorrected.aggregate.device_memory,ecc.errors.uncorrected.aggregate.register_file,ecc.errors.uncorrected.aggregate.l1_cache,ecc.errors.uncorrected.aggregate.l2_cache,ecc.errors.uncorrected.aggregate.texture_memory,ecc.errors.uncorrected.aggregate.total,retired_pages.single_bit_ecc.count,retired_pages.double_bit.count,retired_pages.pending,temperature.gpu,power.management,power.draw,power.limit,enforced.power.limit,power.default_limit,power.min_limit,power.max_limit,clocks.current.graphics,clocks.current.sm,clocks.current.memory,clocks.current.video,clocks.applications.graphics,clocks.applications.memory,clocks.default_applications.graphics,clocks.default_applications.memory,clocks.max.graphics,clocks.max.sm,clocks.max.memory,label,multilabel,used_gpu_memory_app,mem_clock_min,mem_clock_max,mem_clock_avg,mem_clock_std,graphics_clock_min,graphics_clock_max,graphics_clock_avg,graphics_clock_std
2021/02/23 21:52:28.979,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,29,24,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,159.28,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:28.999,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,29,24,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,159.28,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.019,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,89,78,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,159.28,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.039,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,89,78,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,161.32,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.058,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,89,78,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,161.32,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.079,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,89,78,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,161.32,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.099,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,89,78,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,161.32,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.120,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,89,78,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,161.32,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.139,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,89,78,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,165.76,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.160,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,89,78,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,165.76,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.180,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,89,78,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,165.76,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.200,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,89,78,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,165.76,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.220,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,90,79,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,165.76,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.240,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,90,79,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,165.85,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.265,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,90,79,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,165.85,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.284,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,90,79,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,165.85,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.303,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,90,79,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,165.85,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.323,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,90,79,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,165.85,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.343,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,90,79,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,162.76,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.363,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,90,79,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,162.76,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.382,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,90,79,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,162.76,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
2021/02/23 21:52:29.402,4000,37, P2, 0x00000000000001FF, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active,15104,1018,14086, Default,90,79,0,0,0, Enabled, Enabled,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0, [N/A], [N/A], [N/A], [N/A],0,0,0, No,63, Enabled,162.76,230.0,230.0,230.0,125.0,230.0,1875,1875,6500,1740,1620,7001,1620,7001,2100,2100,7001,anomaly,SimBA,1015,405,7001,4707.9375,2506.377617547369,300,2100,1181.280241935484,526.7078274026446
